psi,l_edge
0,-3
1,-2.94059
0,-2.88119
5,-2.82178
8,-2.76238
18,-2.70297
21,-2.64356
47,-2.58416
72,-2.52475
132,-2.46535
201,-2.40594
323,-2.34653
559,-2.28713
809,-2.22772
1227,-2.16832
1819,-2.10891
2610,-2.0495
3790,-1.9901
5242,-1.93069
7292,-1.87129
10051,-1.81188
13441,-1.75248
16961,-1.69307
21678,-1.63366
27587,-1.57426
34523,-1.51485
42158,-1.45545
50638,-1.39604
59259,-1.33663
69557,-1.27723
77650,-1.21782
87794,-1.15842
95620,-1.09901
103905,-1.0396
110901,-0.980198
116178,-0.920792
118885,-0.861386
120793,-0.80198
122144,-0.742574
120489,-0.683168
117917,-0.623762
116109,-0.564356
111725,-0.50495
106743,-0.445545
103285,-0.386139
98151,-0.326733
94252,-0.267327
91522,-0.207921
87913,-0.148515
87546,-0.0891089
85448,-0.029703
86636,0.029703
88445,0.0891089
90445,0.148515
94396,0.207921
97973,0.267327
102496,0.326733
106228,0.386139
111243,0.445545
115794,0.50495
117858,0.564356
121156,0.623762
122637,0.683168
121181,0.742574
118109,0.80198
115361,0.861386
110393,0.920792
103465,0.980198
95598,1.0396
87757,1.09901
78237,1.15842
68184,1.21782
59579,1.27723
50444,1.33663
42145,1.39604
34535,1.45545
28020,1.51485
22113,1.57426
17006,1.63366
13135,1.69307
10081,1.75248
7288,1.81188
5279,1.87129
3647,1.93069
2744,1.9901
1841,2.0495
1193,2.10891
860,2.16832
517,2.22772
370,2.28713
223,2.34653
174,2.40594
103,2.46535
49,2.52475
30,2.58416
15,2.64356
8,2.70297
5,2.76238
3,2.82178
1,2.88119
1,2.94059
